#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.420   -412.440     43.630    101.490    140.800
      0.071   -472.960    498.960   -402.030     48.240    108.330    147.530
      0.143   -469.310    506.750   -391.410     58.070    111.820    150.860
      0.214   -465.060    515.040   -380.280     63.770    116.160    159.700
      0.286   -460.210    523.510   -368.470     72.350    124.160    171.720
      0.357   -454.660    532.650   -355.770     81.570    129.380    183.510
      0.429   -448.120    541.950   -342.380     94.690    134.150    191.970
      0.500   -440.910    551.420   -328.570    107.290    134.300    202.280
      0.571   -432.500    561.110   -314.000    130.590    137.320    211.960
      0.643   -422.380    570.860   -298.380    151.610    134.820    222.120
      0.714   -410.500    580.350   -281.710    178.800    127.190    236.650
      0.786   -396.660    588.860   -264.630    205.970    112.780    241.830
      0.857   -380.830    596.270   -247.130    238.480     92.070    246.430
      0.929   -362.700    601.820   -229.360    263.830     60.690    246.010
      1.000   -343.120    605.070   -212.180    277.910     32.570    237.740
      1.071   -323.070    606.330   -195.630    287.330      2.650    221.070
      1.143   -302.690    605.550   -180.400    287.090    -25.180    204.560
      1.214   -282.290    602.800   -166.440    282.480    -52.600    186.830
      1.286   -262.540    598.350   -153.530    273.340    -69.420    174.900
      1.357   -243.490    592.990   -141.370    262.900    -81.640    164.750
      1.429   -224.750    586.640   -130.090    254.400    -96.650    148.560
      1.500   -207.000    579.280   -119.850    244.750   -106.560    139.630
      1.571   -189.870    571.280   -110.400    235.610   -115.350    129.210
      1.643   -173.310    562.810   -101.420    227.400   -122.140    119.830
      1.714   -157.300    553.770    -93.120    216.490   -130.560    111.720
      1.786   -142.190    544.260    -85.370    208.780   -135.240    106.040
      1.857   -127.620    534.390    -78.150    200.740   -142.170     97.020
      1.929   -113.680    524.070    -71.450    190.870   -147.560     90.490
      2.000   -100.280    513.280    -65.170    181.770   -154.020     85.030
      2.071    -87.660    502.090    -59.260    172.150   -157.530     80.030
      2.143    -75.580    490.820    -53.820    167.210   -158.570     71.500
      2.214    -64.080    479.390    -48.930    155.990   -161.650     69.200
      2.286    -53.000    467.630    -44.090    152.550   -165.620     63.820
      2.357    -42.370    455.610    -39.890    145.220   -169.930     57.420
      2.429    -32.380    443.390    -35.730    135.210   -170.520     57.250
      2.500    -23.000    431.110    -31.740    125.580   -176.240     52.370
      2.571    -14.330    418.420    -28.160    117.210   -179.200     47.150
      2.643     -6.190    405.460    -24.880    111.440   -185.530     43.690
      2.714      1.450    392.060    -22.010    101.660   -187.350     37.650
      2.786      8.550    378.740    -19.480     96.700   -190.320     34.980
      2.857     15.180    364.900    -17.060     89.180   -195.270     31.270
      2.929     20.990    350.730    -15.040     78.350   -200.540     25.460
      3.000     26.210    336.340    -13.370     68.140   -203.190     22.500
