#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.450   -412.400     44.290    101.130    141.310
      0.071   -472.970    498.940   -402.040     49.350    107.800    147.500
      0.143   -469.310    506.750   -391.410     58.640    111.650    151.120
      0.214   -465.060    515.040   -380.300     63.910    116.170    159.110
      0.286   -460.220    523.500   -368.470     70.260    124.270    171.740
      0.357   -454.670    532.660   -355.770     82.660    129.810    184.250
      0.429   -448.080    541.950   -342.370     95.100    133.390    190.730
      0.500   -440.880    551.400   -328.580    106.610    134.180    201.640
      0.571   -432.490    561.120   -313.990    130.770    136.890    212.230
      0.643   -422.390    570.860   -298.370    153.370    135.620    223.700
      0.714   -410.440    580.340   -281.710    177.950    127.050    235.910
      0.786   -396.670    588.870   -264.610    205.290    113.090    242.960
      0.857   -380.870    596.290   -247.120    237.930     92.010    247.060
      0.929   -362.620    601.810   -229.340    262.500     60.900    245.880
      1.000   -343.100    605.070   -212.140    280.370     31.890    237.160
      1.071   -323.080    606.340   -195.620    287.580      2.820    220.530
      1.143   -302.620    605.520   -180.450    286.820    -25.590    203.970
      1.214   -282.330    602.800   -166.440    280.320    -52.220    188.550
      1.286   -262.530    598.360   -153.500    273.380    -68.840    174.390
      1.357   -243.470    592.990   -141.370    264.000    -81.940    164.110
      1.429   -224.800    586.640   -130.060    255.150    -95.800    149.190
      1.500   -206.950    579.270   -119.860    243.320   -107.510    138.970
      1.571   -189.900    571.270   -110.380    234.870   -114.850    129.940
      1.643   -173.320    562.830   -101.390    228.940   -121.730    120.850
      1.714   -157.340    553.790    -93.110    217.120   -130.370    113.220
      1.786   -142.140    544.240    -85.380    207.970   -135.930    103.980
      1.857   -127.650    534.390    -78.190    199.690   -142.060     96.890
      1.929   -113.680    524.080    -71.450    192.090   -147.790     90.230
      2.000   -100.290    513.290    -65.160    182.050   -153.830     85.060
      2.071    -87.680    502.070    -59.330    170.780   -157.030     80.490
      2.143    -75.620    490.820    -53.830    166.270   -157.800     71.950
      2.214    -63.990    479.400    -48.890    158.460   -161.940     67.800
      2.286    -52.980    467.620    -44.120    151.930   -165.870     65.280
      2.357    -42.390    455.620    -39.870    144.300   -169.960     59.440
      2.429    -32.360    443.390    -35.720    135.080   -170.450     56.440
      2.500    -23.050    431.120    -31.730    126.320   -175.910     53.070
      2.571    -14.320    418.420    -28.160    117.370   -179.600     46.520
      2.643     -6.220    405.450    -24.920    110.730   -185.460     43.300
      2.714      1.400    392.100    -21.990    103.010   -187.140     37.860
      2.786      8.570    378.740    -19.460     97.130   -189.380     33.610
      2.857     15.180    364.890    -17.120     87.000   -196.220     30.630
      2.929     20.980    350.740    -15.020     78.320   -199.740     26.550
      3.000     26.190    336.340    -13.370     66.940   -203.250     22.240
      3.071     30.720    321.650    -11.780     59.240   -208.470     20.900
      3.143     34.580    306.560    -10.580     48.660   -214.100     13.690
      3.214     37.520    291.150     -9.830     35.800   -218.080      9.500
      3.286     39.460    275.330     -9.490     20.380   -224.030      4.170
      3.357     40.340    259.300     -9.330      4.530   -228.230      0.520
      3.429     40.090    242.870     -9.470    -13.170   -230.640     -6.910
      3.500     38.440    226.080    -10.260    -31.450   -238.570    -14.310
      3.571     35.460    208.800    -11.470    -54.710   -245.190    -20.630
      3.643     30.810    191.180    -13.300    -79.700   -246.200    -31.500
      3.714     23.960    173.660    -16.040   -114.300   -243.720    -45.040
      3.786     14.520    156.640    -19.640   -151.560   -231.840    -55.620
      3.857      2.450    140.770    -24.230   -186.220   -210.390    -71.330
      3.929    -12.050    126.690    -29.630   -219.350   -178.220    -80.360
      4.000    -28.690    115.650    -35.710   -247.850   -129.020    -84.940
      4.071    -46.970    108.350    -41.700   -259.240    -71.210    -80.080
      4.143    -65.300    105.740    -46.970   -250.650     -1.750    -66.650
      4.214    -82.230    108.150    -51.000   -219.390     68.240    -46.870
      4.286    -96.060    115.240    -53.660   -166.120    123.100    -29.180
      4.357   -105.670    125.330    -54.990   -103.630    154.790     -9.240
      4.429   -111.010    137.040    -55.040    -47.380    168.950      6.670
      4.500   -112.600    149.120    -54.190      0.110    169.890     15.660
      4.571   -111.090    161.120    -52.690     38.850    165.450     24.650
      4.643   -107.010    172.690    -50.640     71.830    158.580     29.890
      4.714   -100.830    183.790    -48.280     99.070    154.620     39.550
      4.786    -92.730    194.520    -45.030    125.810    145.970     50.920
      4.857    -82.870    204.680    -41.120    147.630    138.190     59.670
      4.929    -71.630    214.260    -36.440    164.530    130.040     71.210
      5.000    -59.130    223.300    -30.820    184.560    123.130     85.530
      5.071    -45.230    232.060    -24.000    206.480    121.810    106.890
      5.143    -29.720    240.390    -15.180    230.670    113.220    144.530
      5.214    -12.360    247.780     -2.600    254.890     85.390    212.720
      5.286      5.440    250.960     15.340    231.530     -5.920    277.900
      5.357     20.090    247.500     34.790    179.880    -80.320    259.830
      5.429     31.540    240.440     51.930    142.080   -112.960    221.090
      5.500     40.860    231.720     66.470    116.800   -131.430    185.590
      5.571     48.500    221.830     78.680     95.970   -141.650    156.400
      5.643     54.300    211.380     88.320     78.000   -149.440    126.790
      5.714     59.300    200.350     96.720     62.420   -157.580    105.280
      5.786     63.320    188.880    103.410     49.480   -161.500     81.810
      5.857     66.410    177.120    108.420     35.050   -168.270     57.120
      5.929     68.400    165.110    111.730     21.300   -167.650     36.460
      6.000     69.440    153.110    113.420      6.730   -168.800     12.010
      6.071     69.600    141.230    113.520     -2.590   -165.430     -9.210
      6.143     69.330    129.680    112.130    -19.900   -161.110    -37.600
      6.214     67.090    118.280    108.130    -30.590   -154.560    -65.600
      6.286     64.240    107.630    102.300    -48.980   -142.460    -98.480
      6.357     60.280     98.050     94.120    -64.360   -124.420   -130.590
      6.429     55.230     89.870     83.640    -79.090   -103.380   -164.110
      6.500     49.250     83.590     70.790    -90.480    -71.070   -196.480
      6.571     42.310     80.040     55.570   -101.740    -25.380   -230.350
      6.643     34.800     80.240     38.220   -108.620     34.410   -253.850
      6.714     27.210     85.560     19.870    -99.660    114.780   -254.790
      6.786     20.840     96.450      2.740    -75.850    186.170   -218.400
      6.857     16.630    111.350    -10.510    -40.640    225.550   -151.830
      6.929     14.970    127.780    -19.070     -9.840    231.140    -88.750
      7.000     15.370    143.800    -23.470     20.220    215.880    -39.720
      7.071     17.510    158.540    -24.690     39.480    194.970      2.630
      7.143     20.930    171.700    -23.280     56.230    172.590     36.360
      7.214     25.420    182.950    -19.740     65.890    145.730     61.340
      7.286     30.420    192.460    -14.360     76.980    120.310     87.230
      7.357     36.300    199.970     -7.590     85.060     90.190    103.430
      7.429     42.660    205.460      0.470     92.400     64.970    122.490
      7.500     49.550    208.990      9.630     99.890     32.280    135.040
      7.571     56.800    210.280     19.570    103.230      2.280    143.410
      7.643     64.170    209.330     30.230    103.670    -29.580    154.670
      7.714     71.580    205.990     41.510    102.420    -65.000    161.180
      7.786     79.010    200.120     53.130    105.660   -101.680    163.250
      7.857     86.370    191.520     64.770    102.900   -140.300    162.020
      7.929     93.600    179.920     76.220     97.950   -186.230    155.960
      8.000    100.330    165.010     86.940     89.580   -233.130    143.060
      8.071    106.130    146.570     96.280     72.340   -283.310    115.490
      8.143    110.370    124.700    102.950     44.720   -328.960     67.530
      8.214    112.360    100.260    105.360      8.640   -351.910     -4.060
      8.286    111.470     75.600    101.990    -35.530   -328.590    -88.710
      8.357    107.610     54.290     93.270    -70.740   -263.680   -150.120
      8.429    101.870     38.200     81.370    -84.390   -187.210   -179.760
      8.500     95.540     27.630     68.170    -85.670   -114.660   -181.380
      8.571     89.530     21.650     55.680    -80.470    -52.820   -173.550
      8.643     84.030     19.640     43.940    -74.340     -3.650   -151.710
      8.714     79.270     20.900     33.980    -57.170     37.610   -125.420
      8.786     75.790     24.820     26.040    -39.470     70.230    -97.650
      8.857     73.560     30.740     20.140    -23.850     94.810    -65.920
      8.929     72.680     38.310     16.770     -1.280    114.340    -30.420
      9.000     73.140     47.140     15.850     16.840    131.830      6.360
      9.071     75.130     56.890     17.390     37.510    141.440     41.220
